IDLEB COMPANY FOR SPINNING
AL WASEL AND BABEL GENERAL TRADING LLC
AVIATRANS ANSTALT
AVIATRANS ESTABLISHMENT
LOGARCHEO S.A.
LOGARCHEO AG
Al-ARABI TRADING COMPANY
AL-BASHAIR TRADING COMPANY, LTD
AL-BASHAER TRADING COMPANY, LTD
AL-BASHIR TRADING COMPANY, LTD
AL-BASHA'IR TRADING COMPANY, LTD
AL-BASHAAIR TRADING COMPANY, L TD
AL-BUSHAIR TRADING COMPANY, LTD
TRADING AND TRANSPORT SERVICES COMPANY, LTD.
ALFA COMPANY LIMITED FOR INTERNATIONAL TRADING AND MARKETING
ALFA TRADING COMPANY
ALFA INVESTMENT AND INTERNATIONAL TRADING
TECHNOLOGY AND DEVELOPMENT GROUP LIMITED
TDG Ltd.
T.M.G. ENGINEERING LIMITED
TMG Ltd
Farayand Technique
Defence Industries Organisation
7th of Tir
Fajr Industrial Group
Ammunition Industries Group
Parchin Chemical Industries
Cruise Missile Industry Group
Naval Defence Missile Industry Group
Sanam Industrial Group
Ya Mahdi Industries Group
Qods Aeronautics Industries
Pars Aviation Services Company
Sho’a’ Aviation
Abzar Boresh Kaveh Co.
BK Co.
Barzagani Tejarat Tavanmad Saccal companies
Electro Sanam Company
E. S. Co.
E. X. Co.
Ettehad Technical Group
Instrumentation Factories Plant
Joza Industrial Co.
Khorasan Metallurgy Industries
Niru Battery Manufacturing Company
Sazemane Sanaye Hava
Faza
Aerospace Industrial Organisation
Marine Industries Group
Shahid Joolaee Marine Industries
Shahid Goolaee Marine Industries
MIG
DIO Marine Industries Group
IRGC Air Force
Korea Mining Development Trading Corporation
Changgwang Sinyong Corporation
External Technology General Corporation
DPRKN Mining Development Trading Cooperation
KOMID
Korea Ryonbong General Corporation
Korea Yonbong General Corporation
Lyongaksan General Trading Corporation
Tanchon Commercial Bank
Changgwang Credit Bank
Korea Changgwang Credit Bank
HONG KONG ELECTRONICS
HONG KONG ELECTRONICS KISH CO.
KOREA HYOKSIN TRADING CORPORATION
KOREA HYOKSIN EXPORT AND IMPORT CORPORATION
Amin Industrial Complex
Amin Industrial Compound 
Amin Industrial Company
Armament Industries Group
Defense Technology and Science Research Center
Doostan International Company
Farasakht Industries
Kaveh Cutting Tools Company
M. Babaie Industries
Malek Ashtar University
Ministry of Defense Logistics Export
Mizan Machinery Manufacturing
3MG
Pejman Industrial Services Corporation
Sabalan Company
Shahid Karrazi Industries
Shahid Sattari Industries
Shahid Sattari Group Equipment Industries 
Shahid Sayyade Shirazi Industries
Special Industries Group
Tiz Pars
Yazd Metallurgy Industries
Yazd Ammunition Manufacturing and Metallurgy Industries
Directorate of Yazd Ammunition and Metallurgy Industries
Gharagahe Sazandegi Ghaem
Ghorb Karbala
Ghorb Nooh
Hara Company
Imensazan Consultant Engineers Institute
Khatam al-Anbiya Construction Headquarters
Makin
Omran Sahel
Oriental Oil Kish
Rah Sahel
Rahab Engineering Institute
Sahel Consultant Engineers
Sepanir
Sepasad Engineering Company
Iran Centrifuge Technology Company 
TSA
TESA
Raka
Schiller Novin 
Shiller Novin
Yasa Part 
Arfa Paint Company
Arfeh Company
Farasepehr Engineering Company
Hosseini Nejad Trading Co
Iran Saffron Company
Iran Saffron Co
Shetab G.
Shetab Gaman
Shetab Trading
Y.A.S. Co. Ltd
IRGC Air Force Al-Ghadir Missile Command
IRGC Qods Force
Congomet Trading House
Tous pour la Paix et le Développement 
TPD
Kala-Electric 
Kalaye Electric
Shahid Hemmat Industrial Group 
SHIG
Shahid Bagheri Industrial Group 
SBIG
Ammunition and Metallurgy Industries Group
AMIG
BAL
COMPAGNIE AERIENNE DES GRANDS LACS 
GREAT LAKES BUSINESS COMPANY
GLBC
CAGL
Industrial Factories of Precision  Machinery
IFP
Safety Equipment Procurement 
SEP
Aerospace Industries Organisation
AIO
Marine Industries
Marine Industries Organization 
MI
MIO
Mechanic Industries Group
MIG
3M Mizan Machinery Manufacturing
MMM
GENERAL BUREAU OF ATOMIC ENERGY
General Department of Atomic Energy
GBAE
GDAE
Sahand Aluminum Parts Industrial Company 
SAPICO
Fater Institute
Faater Institute
Equipment Supplier for Nuclear Industries Corporation 
ESNICO
Libyan Africa Investment Portfolio
Behineh Trading Co
Hunjin TRADING Co
Korea Henjin Trading Co
Korea Hengjin Trading Company
AMROGGANG DEVELOPMENT BANKING CORPORATION
AMROGGANG Development Bank
Amnokkang Development Bank
Roshan Money Exchange
صرافی روشان
Roshan Sarafi
Roshan Trading Company
Rushaan Trading Company
Roshan Shirkat
Maulawi Ahmed Shah Hawala
Mullah Ahmed Shah Hawala
Haji Ahmad Shah Hawala
Ahmad Shah Hawala
Haji Khairullah Haji Sattar Money Exchange
حاجی خيرالله و حاجی ستار صرافی
